Datetime,Year,Month,Day,Mean Temp (C),Max Temp (C),Min Temp (C),Total Rain (mm),Total Snow (cm),Total Precip (mm),season
31-Jan-18,"2,018",1,31,-7,2,-15,0,1,1,Winter
30-Jan-18,"2,018",1,30,-11,-7,-15,0,0,0,Winter
29-Jan-18,"2,018",1,29,-4,-2,-7,0,5,5,Winter
28-Jan-18,"2,018",1,28,1,5,-3,0,0,0,Winter
27-Jan-18,"2,018",1,27,5,10,0,2,0,2,Winter
26-Jan-18,"2,018",1,26,2,6,-3,0,0,0,Winter
25-Jan-18,"2,018",1,25,-7,-3,-11,0,0,0,Winter
24-Jan-18,"2,018",1,24,-8,-5,-11,0,0,0,Winter
23-Jan-18,"2,018",1,23,1,7,-5,3,0,3,Winter
22-Jan-18,"2,018",1,22,2,2,1,14,0,14,Winter
21-Jan-18,"2,018",1,21,1,4,-2,1,0,1,Winter
20-Jan-18,"2,018",1,20,3,6,0,0,0,0,Winter
19-Jan-18,"2,018",1,19,-2,2,-6,0,0,0,Winter
18-Jan-18,"2,018",1,18,-7,-4,-9,0,0,0,Winter
17-Jan-18,"2,018",1,17,-10,-6,-14,0,0,0,Winter
16-Jan-18,"2,018",1,16,-7,-3,-10,0,2,1,Winter
15-Jan-18,"2,018",1,15,-8,-7,-9,0,4,4,Winter
14-Jan-18,"2,018",1,14,-12,-7,-17,0,0,0,Winter
13-Jan-18,"2,018",1,13,-14,-12,-17,0,0,0,Winter
12-Jan-18,"2,018",1,12,0,12,-13,10,3,14,Winter
11-Jan-18,"2,018",1,11,9,13,5,7,0,7,Winter
10-Jan-18,"2,018",1,10,1,7,-5,3,0,3,Winter
09-Jan-18,"2,018",1,9,-1,1,-3,0,0,0,Winter
08-Jan-18,"2,018",1,8,0,2,-3,1,4,4,Winter
07-Jan-18,"2,018",1,7,-12,-2,-21,0,0,0,Winter
06-Jan-18,"2,018",1,6,-20,-16,-24,0,0,0,Winter
05-Jan-18,"2,018",1,5,-19,-15,-23,0,0,0,Winter
04-Jan-18,"2,018",1,4,-15,-9,-21,0,0,0,Winter
03-Jan-18,"2,018",1,3,-10,-6,-14,0,0,0,Winter
02-Jan-18,"2,018",1,2,-11,-8,-13,0,1,1,Winter
01-Jan-18,"2,018",1,1,-15,-9,-21,0,0,0,Winter
31-Jan-17,"2,017",1,31,-4,-2,-6,0,2,2,Winter
30-Jan-17,"2,017",1,30,-8,-5,-11,0,0,0,Winter
29-Jan-17,"2,017",1,29,-5,-2,-7,0,0,0,Winter
28-Jan-17,"2,017",1,28,-2,-1,-3,0,1,0,Winter
27-Jan-17,"2,017",1,27,0,2,-2,0,0,0,Winter
26-Jan-17,"2,017",1,26,2,4,0,2,0,2,Winter
25-Jan-17,"2,017",1,25,2,5,-1,1,0,1,Winter
24-Jan-17,"2,017",1,24,0,1,-1,0,0,0,Winter
23-Jan-17,"2,017",1,23,2,4,1,0,0,0,Winter
22-Jan-17,"2,017",1,22,4,5,2,0,0,0,Winter
21-Jan-17,"2,017",1,21,4,6,2,0,0,0,Winter
20-Jan-17,"2,017",1,20,2,4,1,0,0,0,Winter
19-Jan-17,"2,017",1,19,2,3,1,0,0,0,Winter
18-Jan-17,"2,017",1,18,2,3,1,0,0,0,Winter
17-Jan-17,"2,017",1,17,1,2,0,12,0,12,Winter
16-Jan-17,"2,017",1,16,-2,3,-6,0,0,0,Winter
15-Jan-17,"2,017",1,15,-4,0,-7,0,0,0,Winter
14-Jan-17,"2,017",1,14,-6,-3,-9,0,0,0,Winter
13-Jan-17,"2,017",1,13,-5,-2,-9,0,0,0,Winter
12-Jan-17,"2,017",1,12,3,9,-2,10,0,10,Winter
